Symbol,GENE_BELONG_CATEGORY,重叠数量_同源重组（HR）,重叠数量_非同源末端连接（NHEJ）,重叠数量_碱基切除修复（BER）,重叠数量_核苷酸切除修复（NER）,重叠数量_错配修复（MMR）,重叠数量_跨损伤合成（TLS）,重叠数量_直接修复（DRR）,重叠数量_损伤应答检查点（CP）,重叠数量_未分类,STANDARD_NAME
CHEK2,混合(HR+BER),1,0,1,0,0,0,0,0,19,"['AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN', 'BIOCARTA_ATM_PATHWAY', 'BIOCARTA_ATRBRCA_PATHWAY', 'BIOCARTA_G2_PATHWAY', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'DNA_DAMAGE_CHECKPOINT', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR', 'GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR', 'GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING', 'GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING', 'GOBP_MITOTIC_NUCLEAR_DIVISION', 'GOBP_REGULATION_OF_DNA_DAMAGE_CHECKPOINT', 'GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_SPINDLE_ORGANIZATION', 'GOCC_CHROMOSOME', 'HP_TYPIFIED_BY_SOMATIC_MOSAICISM', 'KAUFFMANN_DNA_REPAIR_GENES', 'KAUFFMANN_MELANOMA_RELAPSE_UP', 'KEGG_CELL_CYCLE', 'KEGG_P53_SIGNALING_PATHWAY', 'MODULE_244', 'PULVER_FOREY_PERTURB_ATTRITION_M_EG1', 'PULVER_FOREY_PERTURB_ATTRITION_S', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE', 'REACTOME_DNA_REPAIR', 'REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS', 'REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT', 'REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT', 'WAKASUGI_HAVE_ZNF143_BINDING_SITES', 'WHITFIELD_CELL_CYCLE_G2', 'WP_DNA_DAMAGE_RESPONSE', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM', 'WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE']"
H2AX,混合(HR+BER+NER),2,0,2,1,0,0,0,0,49,"['ACEVEDO_LIVER_CANCER_UP', 'ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'COLLIS_PRKDC_SUBSTRATES', 'DAZARD_RESPONSE_TO_UV_NHEK_UP', 'DAZARD_UV_RESPONSE_CLUSTER_G5', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE', 'GOCC_CHROMOSOME', 'GOCC_CONDENSED_CHROMOSOME', 'GOCC_CONDENSED_NUCLEAR_CHROMOSOME', 'GOCC_NUCLEOSOME', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_REPLICATION_FORK', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_SITE_OF_DOUBLE_STRAND_BREAK', 'GOMF_HISTONE_BINDING', 'GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP', 'HORIUCHI_WTAP_TARGETS_DN', 'KAUFFMANN_DNA_REPAIR_GENES', 'LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN', 'MARTENS_TRETINOIN_RESPONSE_DN', 'MODULE_392', 'PATIL_LIVER_CANCER', 'PULVER_FOREY_CELLCYCLE_PEAKING_G2', 'PULVER_FOREY_PERTURB_ACCUMULATION_G1_S', 'REACTOME_BASE_EXCISION_REPAIR', 'REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE', 'REACTOME_DNA_METHYLATION', 'REACTOME_DNA_REPAIR', 'REACTOME_DNA_REPLICATION', 'REACTOME_DNA_REPLICATION_PRE_INITIATION', 'REACTOME_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT', 'REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE', 'REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA', 'REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS', 'REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE', 'REN_BOUND_BY_E2F', 'RHODES_UNDIFFERENTIATED_CANCER', 'ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER', 'SONG_TARGETS_OF_IE86_CMV_PROTEIN', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'WANG_CISPLATIN_RESPONSE_AND_XPC_UP', 'WHITFIELD_CELL_CYCLE_G2', 'WP_DNA_DAMAGE_RESPONSE', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE', 'WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE', 'WP_NIPBL_ROLE_IN_DNA_DAMAGE_CORNELIA_DE_LANGE_SYNDROME', 'ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR', 'ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR']"
RPS3,碱基切除修复（BER）,0,0,2,0,0,0,0,0,23,"['CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_UP', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_BASE_EXCISION_REPAIR', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_SPINDLE_ORGANIZATION', 'GOCC_NUCLEOLUS', 'GOMF_DNA_APURINIC_OR_APYRIMIDINIC_SITE_ENDONUCLEASE_ACTIVITY', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_DNA_N_GLYCOSYLASE_ACTIVITY', 'GOMF_MRNA_BINDING', 'GOMF_OXIDIZED_DNA_BINDING', 'GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'GOMF_SUPERCOILED_DNA_BINDING', 'LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN', 'MARTENS_TRETINOIN_RESPONSE_DN', 'PULVER_FOREY_PERTURB_ACCUMULATION_S', 'PULVER_FOREY_PERTURB_ATTRITION_LG1', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C4_HIGH_GRADE_CHONDROSARCOMA_1', 'SU_HO_FOETAL_FEMUR_C0_TRANSITIONING_CELL', 'TIEN_INTESTINE_PROBIOTICS_24HR_DN']"
CBX5,混合(BER+MMR),0,0,1,0,1,0,0,0,24,"['AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN', 'CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP', 'CHICAS_RB1_TARGETS_GROWING', 'CHICAS_RB1_TARGETS_SENESCENT', 'CHROMOSOMAL_PART', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOCC_CHROMOSOME', 'GOCC_CHROMOSOME_CENTROMERIC_REGION', 'GOCC_CONDENSED_CHROMOSOME', 'GOCC_KINETOCHORE', 'GOCC_NUCLEOLUS', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_HISTONE_BINDING', 'LU_AGING_BRAIN_DN', 'NUCLEAR_CHROMATIN', 'POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_UP', 'POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN', 'PULVER_FOREY_CELLCYCLE_PEAKING_S2', 'REN_BOUND_BY_E2F', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'WATANABE_COLON_CANCER_MSI_VS_MSS_DN', 'WHITFIELD_CELL_CYCLE_G2']"
CBX3,核苷酸切除修复（NER）,0,0,0,3,0,0,0,0,26,"['BILD_CTNNB1_ONCOGENIC_SIGNATURE', 'BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_DN', 'FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP', 'GENTILE_UV_RESPONSE_CLUSTER_D8', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC', 'GOCC_CHROMOSOME', 'GOCC_CHROMOSOME_CENTROMERIC_REGION', 'GOCC_CONDENSED_CHROMOSOME', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_HISTONE_BINDING', 'GOMF_TRANSCRIPTION_COREGULATOR_BINDING', 'KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN', 'LI_AMPLIFIED_IN_LUNG_CANCER', 'MARTENS_TRETINOIN_RESPONSE_DN', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S2', 'RHODES_CANCER_META_SIGNATURE', 'SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM', 'SCHLOSSER_SERUM_RESPONSE_DN', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C1_HIGH_GRADE_CHONDROSARCOMA_2', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'WANG_LMO4_TARGETS_UP', 'WHITFIELD_CELL_CYCLE_M_G1', 'WP_NIPBL_ROLE_IN_DNA_DAMAGE_CORNELIA_DE_LANGE_SYNDROME']"
PARP1,混合(NER+BER+HR),2,0,4,8,0,0,0,0,42,"['ABRAMSON_INTERACT_WITH_AIRE', 'ACEVEDO_LIVER_CANCER_UP', 'ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP', 'BAELDE_DIABETIC_NEPHROPATHY_DN', 'BIOCARTA_CHEMICAL_PATHWAY', 'COLLIS_PRKDC_SUBSTRATES', 'ENK_UV_RESPONSE_KERATINOCYTE_DN', 'FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP', 'FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP', 'GENTILE_UV_RESPONSE_CLUSTER_D8', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_BASE_EXCISION_REPAIR', 'GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION', 'GOBP_CGAS_STING_SIGNALING_PATHWAY', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DNA_REPLICATION', 'GOBP_DNA_TEMPLATED_DNA_REPLICATION', 'GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOBP_MITOCHONDRIAL_DNA_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_DNA_RECOMBINATION', 'GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_REGULATION_OF_DNA_RECOMBINATION', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION', 'GOBP_SINGLE_STRAND_BREAK_REPAIR', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_NUCLEAR_REPLICATION_FORK', 'GOCC_NUCLEOLUS', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_REPLICATION_FORK', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOCC_SITE_OF_DOUBLE_STRAND_BREAK', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_NUCLEOSOME_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP', 'KAUFFMANN_DNA_REPAIR_GENES', 'KEGG_BASE_EXCISION_REPAIR', 'MATTIOLI_MGUS_VS_PCL', 'OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP', 'PRAMOONJAGO_SOX4_TARGETS_DN', 'PULVER_FOREY_PERTURB_ATTRITION_S', 'QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DY_AT_1DYPOSITIVE', 'QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE', 'REACTOME_BASE_EXCISION_REPAIR', 'REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER', 'REACTOME_HOMOLOGY_DIRECTED_REPAIR', 'REACTOME_NUCLEOTIDE_EXCISION_REPAIR', 'REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR', 'REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS', 'SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP', 'SU_HO_CONV_CENT_CHONDROSARCOMA_C7_PROLIFERATIVE', 'WEI_MYCN_TARGETS_WITH_E_BOX', 'WP_BASE_EXCISION_REPAIR', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM']"
XRCC5,混合(NHEJ+HR+NER),1,6,0,1,0,0,0,0,33,"['BAELDE_DIABETIC_NEPHROPATHY_DN', 'BIOCARTA_TEL_PATHWAY', 'CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_DN', 'COLLIS_PRKDC_REGULATORS', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP', 'GNF2_XRCC5', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_RECOMBINATIONAL_REPAIR', 'GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_CHROMOSOME_TELOMERIC_REPEAT_REGION', 'GOCC_DNA_DEPENDENT_PROTEIN_KINASE_COMPLEX', 'GOCC_DNA_DEPENDENT_PROTEIN_KINASE_DNA_LIGASE_4_COMPLEX', 'GOCC_DNA_REPAIR_COMPLEX', 'GOCC_NONHOMOLOGOUS_END_JOINING_COMPLEX', 'GOCC_NUCLEOLUS', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_SITE_OF_DNA_DAMAGE', 'GOMF_DNA_HELICASE_ACTIVITY', 'GOMF_SEQUENCE_SPECIFIC_DNA_BINDING', 'KAUFFMANN_DNA_REPAIR_GENES', 'KAUFFMANN_MELANOMA_RELAPSE_UP', 'KEGG_NON_HOMOLOGOUS_END_JOINING', 'LOPEZ_MBD_TARGETS', 'MODULE_244', 'MODULE_403', 'MORF_DNMT1', 'MORF_XRCC5', 'NATSUME_RESPONSE_TO_INTERFERON_BETA_DN', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S2', 'PULVER_FOREY_CELLCYCLE_PEAKING_S1', 'PULVER_FOREY_PERTURB_ACCUMULATION_S', 'REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_DOUBLE_STRAND_BREAK_REPAIR', 'SCHLOSSER_SERUM_RESPONSE_DN', 'STRUCTURE_SPECIFIC_DNA_BINDING', 'TOOKER_GEMCITABINE_RESISTANCE_UP', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK']"
PRKDC,混合(NHEJ+NER),0,5,0,2,0,0,0,0,44,"['ABRAMSON_INTERACT_WITH_AIRE', 'BIOCARTA_G2_PATHWAY', 'BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP', 'CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_UP', 'CHICAS_RB1_TARGETS_SENESCENT', 'DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_UP', 'DING_LUNG_CANCER_BY_MUTATION_RATE', 'DODD_NASOPHARYNGEAL_CARCINOMA_UP', 'ENK_UV_RESPONSE_KERATINOCYTE_DN', 'FERNANDEZ_BOUND_BY_MYC', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_CGAS_STING_SIGNALING_PATHWAY', 'GOBP_CHROMATIN_ORGANIZATION', 'GOBP_CHROMATIN_REMODELING', 'GOBP_CHROMOSOME_ORGANIZATION', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING', 'GOBP_DNA_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_ALTERNATIVE_NONHOMOLOGOUS_END_JOINING', 'GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING', 'GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR', 'GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_REGULATION_OF_DNA_REPAIR', 'GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING', 'GOBP_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE', 'GOBP_TELOMERE_CAPPING', 'GOBP_TELOMERE_ORGANIZATION', 'GOCC_CHROMOSOME', 'GOCC_DNA_DEPENDENT_PROTEIN_KINASE_COMPLEX', 'GOCC_DNA_DEPENDENT_PROTEIN_KINASE_DNA_LIGASE_4_COMPLEX', 'GOCC_DNA_REPAIR_COMPLEX', 'GOCC_NONHOMOLOGOUS_END_JOINING_COMPLEX', 'GOCC_NUCLEOLUS', 'GOCC_PROTEIN_DNA_COMPLEX', 'GOCC_TRANSCRIPTION_REGULATOR_COMPLEX', 'GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING', 'GSE8835_CD4_VS_CD8_TCELL_UP', 'KAUFFMANN_DNA_REPAIR_GENES', 'KEGG_CELL_CYCLE', 'KEGG_NON_HOMOLOGOUS_END_JOINING', 'MISSIAGLIA_REGULATED_BY_METHYLATION_DN', 'MORF_DDB1', 'MORF_DNMT1', 'MORF_XRCC5', 'OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP', 'PATIL_LIVER_CANCER', 'PULVER_FOREY_CELLCYCLE_PEAKING_S1', 'REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA', 'REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR', 'REACTOME_DNA_REPAIR', 'REACTOME_DOUBLE_STRAND_BREAK_REPAIR', 'REN_BOUND_BY_E2F', 'SU_HO_FOETAL_FEMUR_C3_PROLIFERATING_CHONDROCYTE', 'WAKASUGI_HAVE_ZNF143_BINDING_SITES', 'WP_DNA_DAMAGE_RESPONSE', 'WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR', 'WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM', 'WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK', 'WP_MIRNA_REGULATION_OF_DNA_DAMAGE_RESPONSE', 'ZHAN_MULTIPLE_MYELOMA_SUBGROUPS']"
BCLAF1,混合(BER+NER),0,0,1,1,0,0,0,0,9,"['FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_DN', 'GCM_APEX1', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_DNA_DAMAGE_RESPONSE', 'GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY', 'HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_UP', 'LAU_APOPTOSIS_CDKN2A_UP', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_G2_M', 'PULVER_FOREY_CELLCYCLE_ENRICHED_TFS_S2', 'PULVER_FOREY_CELLCYCLE_PEAKING_S1', 'SCHLOSSER_SERUM_RESPONSE_DN', 'TIEN_INTESTINE_PROBIOTICS_24HR_UP', 'WHITFIELD_CELL_CYCLE_G2']"
ATAD3A,混合(HR+NER),1,0,0,1,0,0,0,0,4,"['GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN', 'GOBP_APOPTOTIC_PROCESS', 'GOBP_DNA_DAMAGE_RESPONSE', 'PULVER_FOREY_PERTURB_ATTRITION_LG1', 'PULVER_FOREY_PERTURB_ATTRITION_M_EG1', 'VANTVEER_BREAST_CANCER_BRCA1_UP', 'VANTVEER_BREAST_CANCER_ESR1_DN', 'WANG_CISPLATIN_RESPONSE_AND_XPC_UP']"
