Symbol,UMAP_1,UMAP_2,Group,Total_Hits,HR,NHEJ,BER,NER,MMR,TLS,DRR,CP
CHEK2,3.302494,9.136268,Hybrid,25,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.92
H2AX,5.728218,8.777198,Hybrid,19,0.10526315789473684,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.7368421052631579
RPS3,6.9909496,8.508338,Hybrid,7,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143
CBX5,7.558918,8.734557,Hybrid,4,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5
CBX3,10.408544,7.3149786,Hybrid,5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
PARP1,8.931705,8.143286,Hybrid,27,0.07407407407407407,0.0,0.14814814814814814,0.2962962962962963,0.0,0.0,0.0,0.48148148148148145
XRCC5,6.701494,9.541305,Hybrid,16,0.0625,0.375,0.0,0.0625,0.0,0.0,0.0,0.5
PRKDC,6.4027653,9.606668,Hybrid,21,0.0,0.23809523809523808,0.0,0.09523809523809523,0.0,0.0,0.0,0.6666666666666666
BCLAF1,7.887284,8.211631,Hybrid,5,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.6
ATAD3A,9.333252,9.168241,Hybrid,4,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5
ERCC6L2,6.8493977,9.842072,Hybrid,6,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5
LMNA,2.948427,9.163564,CP,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MACROD1,2.893226,9.32414,CP,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAPT,10.325183,7.8000064,Hybrid,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
MTA1,5.0788994,10.091044,Hybrid,4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75
NPM1,5.814499,8.526007,Hybrid,8,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.75
NUCKS1,5.5198107,8.044289,Hybrid,6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
OTUB1,4.750444,9.909575,Hybrid,5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8
PARK7,8.680759,7.859245,Hybrid,8,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.5
PPP1CA,8.370883,8.142739,Hybrid,4,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5
RAD52,5.2796063,8.248766,Hybrid,13,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.6923076923076923
RPA1,9.007496,8.885417,Hybrid,32,0.125,0.03125,0.0625,0.25,0.125,0.0625,0.0,0.34375
SFN,4.0172935,9.5930805,Hybrid,9,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888
UBA1,10.484343,7.057073,Hybrid,5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4
UBE2N,9.61174,8.777552,Hybrid,16,0.1875,0.0,0.0,0.3125,0.0,0.0,0.0,0.5
UBE2V2,5.231953,9.578955,Hybrid,11,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.7272727272727273
USP7,10.167664,6.9198833,Hybrid,12,0.0,0.0,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.25
VCP,5.25512,8.6784525,Hybrid,10,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.7
XRCC6,7.172286,9.633335,Hybrid,13,0.07692307692307693,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.46153846153846156
MEN1,2.7349882,9.0380745,CP,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HTATSF1,4.9086356,8.779516,Hybrid,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
TOP2A,9.087776,8.960448,Hybrid,11,0.2727272727272727,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.36363636363636365
XRCC1,8.40412,8.07476,Hybrid,19,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.0,0.0,0.0,0.42105263157894735
ERCC3,10.296518,7.3748493,Hybrid,14,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855
TAF1,10.065385,7.6817684,Hybrid,4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
SFPQ,7.121314,8.802839,Hybrid,9,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.5555555555555556
MTREX,10.379095,7.1692696,Hybrid,4,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25
LIG3,8.649553,8.596647,Hybrid,18,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.3333333333333333
HMGA2,6.967361,9.161862,Hybrid,8,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.625
XPC,9.522838,7.8923793,Hybrid,17,0.0,0.0,0.058823529411764705,0.35294117647058826,0.058823529411764705,0.0,0.0,0.5294117647058824
TP53BP1,5.7500625,9.448257,Hybrid,23,0.08695652173913043,0.08695652173913043,0.0,0.13043478260869565,0.0,0.0,0.0,0.6956521739130435
ATR,5.437836,9.2742195,Hybrid,27,0.14814814814814814,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.7037037037037037
SNW1,5.0017896,9.9973955,Hybrid,5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8
MDC1,3.9409428,9.189337,Hybrid,17,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.8823529411764706
CHD4,4.7286015,8.39066,Hybrid,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8
NIPBL,8.34097,8.773667,Hybrid,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.5
