Symbol,NER,HR,NHEJ,BER,CP
CHEK2,0,1,0,1,1
H2AX,1,1,1,1,1
RPS3,1,1,0,1,0
CBX5,0,1,0,1,1
CBX3,1,1,0,0,1
PARP1,1,1,1,1,1
XRCC5,1,1,1,0,1
PRKDC,1,1,1,0,1
BCLAF1,1,1,0,1,1
ATAD3A,1,1,0,0,0
ERCC6L2,0,1,1,0,0
LMNA,0,1,0,0,1
MACROD1,0,0,0,0,1
MAPT,1,1,0,0,0
MTA1,1,1,0,0,0
NPM1,0,1,0,1,1
NUCKS1,0,1,0,0,1
OTUB1,0,0,0,0,0
PARK7,1,1,1,1,0
PPP1CA,1,1,0,1,0
RAD52,1,1,0,0,1
RPA1,1,1,1,1,1
SFN,1,1,0,0,1
UBA1,1,0,0,0,0
UBE2N,1,1,0,0,1
UBE2V2,1,1,0,0,1
USP7,1,1,0,1,0
VCP,1,1,0,0,0
XRCC6,0,1,1,0,0
MEN1,0,1,0,0,0
HTATSF1,0,1,0,0,0
TOP2A,1,1,0,1,1
XRCC1,1,1,1,1,0
ERCC3,1,1,0,0,1
TAF1,1,1,0,0,1
SFPQ,0,1,1,1,1
MTREX,1,0,1,0,0
LIG3,1,1,1,1,0
HMGA2,1,1,1,1,0
XPC,1,1,0,1,1
TP53BP1,1,1,1,0,1
ATR,1,1,0,0,1
SNW1,1,1,0,0,1
MDC1,1,1,1,0,1
CHD4,0,1,0,0,0
NIPBL,1,1,0,1,1
POGZ,1,1,0,0,0
RBBP6,1,1,0,1,0
SMC5,1,1,1,0,0
DDB2,1,1,0,1,1
CDC5L,1,1,0,0,1
NABP2,0,1,0,0,1
CHCHD6,0,0,0,0,0
INIP,0,1,0,0,0
ZMYND8,1,1,0,0,0
