STANDARD_NAME	ABRAMSON_INTERACT_WITH_AIRE
SYSTEMATIC_NAME	M2536
COLLECTION	C2:CGP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ABRAMSON_INTERACT_WITH_AIRE
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Proteins interacting with AIRE [GeneID=326], based on massspectroscopy analysis of co-immunoprecipitates in 293T cells (embryonic kidney).
DESCRIPTION_FULL	Aire induces the expression of a battery of peripheral-tissue self-antigens (PTAs) in thymic stromal cells, promoting the clonal deletion of differentiating T cells that recognize them. Just how Aire targets and induces PTA transcripts remains largely undefined. Screening via Aire-targeted coimmunoprecipitation followed by mass spectrometry, and validating by multiple RNAi-mediated knockdown approaches, we identified a large set of proteins that associate with Aire. They fall into four major functional classes: nuclear transport, chromatin binding/structure, transcription and pre-mRNA processing. One set of Aire interactions centered on DNA protein kinase and a group of proteins it partners with to resolve DNA double-stranded breaks or promote transcriptional elongation. Another set of interactions was focused on the pre-mRNA splicing and maturation machinery, potentially explaining the markedly more effective processing of PTA transcripts in the presence of Aire. These findings suggest a model to explain Aire's widespread targeting and induction of weakly transcribed chromatin regions.
PMID	20085707
GEOID	
AUTHORS	Abramson J,Giraud M,Benoist C,Mathis D
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	Fig. 1B
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	C1QBP,CAND1,CHD6,DDX17,DDX5,EFTUD2,GCN1L,GEMIN5,HIST1H2AC,HIST1H2BO,HIST3H3,IPO7,KPNB1,LMNB1,MCM2,MCM5,MCM6,MSH2,MSH6,MYBBP1A,NASP,NOP56,NUP93,PABPC1,PARP1,PCNA,POLR2A,POLR2B,PRKDC,Rad21,RANBP2,RANBP9,RUVBL2,SFRS1,SFRS2,SFRS3,SMC1A,SMC3,SNRPB,SNRPD3,SUPT16H,TOP2A,TRIM28,XPO1,XPOT
GENE_SYMBOLS	C1QBP,CAND1,CHD6,DDX17,DDX5,EFTUD2,GCN1,GEMIN5,H2AC6,H2BC17,H3-4,IPO7,KPNB1,LMNB1,MCM2,MCM5,MCM6,MSH2,MSH6,MYBBP1A,NASP,NOP56,NUP93,PABPC1,PARP1,PCNA,POLR2A,POLR2B,PRKDC,RANBP2,RANBP9,RUVBL2,,SRSF1,SRSF2,SRSF3,SMC1A,SMC3,SNRPB,SNRPD3,SUPT16H,TOP2A,TRIM28,XPO1,XPOT
FOUNDER_NAMES	
STANDARD_NAME	ACEVEDO_LIVER_CANCER_DN
SYSTEMATIC_NAME	M7577
COLLECTION	C2:CGP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ACEVEDO_LIVER_CANCER_DN
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	Genes down-regulated in hepatocellular carcinoma (HCC) compared to normal liver samples.
DESCRIPTION_FULL	There is widespread interest in efficient characterization of differences between tumor and normal samples. Here, we show an effective methodology for genome-scale characterization of tumors. Using matched normal and tumor samples from liver cancer patients, as well as non-cancer-related normal liver tissue, we first determined changes in gene expression as monitored on RNA expression arrays. We identified several hundred mRNAs that were consistently changed in the tumor samples. To characterize the mechanisms responsible for creation of the tumor-specific transcriptome, we performed chromatin immunoprecipitation on microarray experiments to assay binding of RNA polymerase II, H3me3K27, and H3me3K9 and DNA methylation in 25,000 promoter regions. These experiments identified changes in active and silenced regions of the genome in the tumor cells. Finally, we used a virtual comparative genomic hybridization method to identify copy number alterations in the tumor samples. Through comparison of RNA polymerase II binding, chromatin structure, DNA methylation, and copy number changes, we suggest that the major contributor to creation of the liver tumor transcriptome was changes in gene copy number.
PMID	18413731
GEOID	GSE10842
AUTHORS	Acevedo LG,Bieda M,Green R,Farnham PJ
CONTRIBUTOR	Jessica Robertson
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	Table 19S
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
